,URL,Created,Comment_removeclass,Comment_time,Post_Index,Check_Point,Cat
0,https://github.com/avajs/ava/discussions/2665,2021-01-27T12:22:49Z,"I think this is an issue for https://github.com/concordancejs/concordance/ which generates the diffs. Would you mind opening it there?
Some questions we'd need to resolve:

How would we indicate that lines are elided? Would we indicate how many?
What if there are multiple sections that contain changes, but other sections are the same?
Would you want the diff to ""give up"" when there are too many changes, even after eliding? After how many lines should that kick in?

Perhaps some of those things could be configurable on a a per-assertion basis but we'd need to support it in Concordance first.
(I'm closing this issue for housekeeping purposes, but let's keep the conversation going.)",2021-01-31T15:18:58Z,1,1.0,(II) Unrelated Repository
1,https://github.com/avajs/ava/discussions/2665,2021-01-27T12:22:49Z,"
How would we indicate that lines are elided? Would we indicate how many?
What if there are multiple sections that contain changes, but other sections are the same?

Here's an example of how jest outputs diffs:

As you can see, it uses a standard syntax for eliding unchanged lines from a diff: @@ -32865,6 +32896,7 @@ (even highlight.js understands this format!).
This format seems to be called unified diff format.

Would you want the diff to ""give up"" when there are too many changes, even after eliding?

No. While it's true that the biggest use-case for this is when two huge files are mostly similar, except for one or two small differences, I still want the output to contain all information for the difference. If there's so much diff that the output becomes long, so be it. I feel it would be confusing/something unpredicted if it wouldn't output the whole diff, even with a message.

After how many lines should that kick in?

It looks like by default, jest prints 5 lines above and below each diff block, which is a default setting I never thought of changing :)
I took a look at the GNU diff tool (man diff). Its default is 3 lines of ""context"", but personally I like having 5 lines of context. (I think this could/should become a setting anyway.)

I think this is an issue for https://github.com/concordancejs/concordance/ which generates the diffs. Would you mind opening it there?
(I'm closing this issue for housekeeping purposes, but let's keep the conversation going.)

Should we keep the conversation going here and create an issue in concordance once we've found a good solution, or should I create an issue right away?",2021-02-02T12:06:15Z,2,,(II) Unrelated Repository
2,https://github.com/twbs/bootstrap/discussions/31812,2020-10-01T18:54:21Z,Heyo! This is a great idea. Had a moment of inspiration based on this and some other sandboxing I’d done in the past. I’ve opened #31813 to start playing around.,2020-10-01T21:06:10Z,1,1.0,(III) Enhancement
3,https://github.com/twbs/bootstrap/discussions/31618,2020-09-09T15:54:51Z,"nice catch @coliff 👍
IMO it should be an issue",2020-09-09T16:39:10Z,1,,(IV) Clarification Request
4,https://github.com/twbs/bootstrap/discussions/31618,2020-09-09T15:54:51Z,I just went to open an issue now and see that one was opened yesterday (#31616) - which looks like it has a PR (currently unmerged) #31115,2020-09-10T06:24:20Z,2,,(IV) Clarification Request
5,https://github.com/twbs/bootstrap/discussions/31618,2020-09-09T15:54:51Z,@coliff IIRC the issue was fixed in #30928. Please try the latest main branch to confirm.,2020-09-10T08:59:14Z,3,,(IV) Clarification Request
6,https://github.com/twbs/bootstrap/discussions/31618,2020-09-09T15:54:51Z,"thanks @XhmikosR  - just tested this with the main branch JS now and it's hugely improved... but there's still a slight flicker when you hover over the edges of the paths of the SVG. I made a new CodePen to show. (it flickers when you scroll off or on to the twitter bird within the square)
https://codepen.io/coliff/pen/wvGmpaE",2020-09-10T10:16:31Z,4,,(IV) Clarification Request
7,https://github.com/twbs/bootstrap/discussions/31618,2020-09-09T15:54:51Z,"True, not sure what the cause is, though. Maybe @tkrotoff has any ideas.",2020-09-14T06:21:36Z,5,,(IV) Clarification Request
8,https://github.com/twbs/bootstrap/discussions/31618,2020-09-09T15:54:51Z,"Also, better make a new issue. Discussions are not meant to be used for such things.",2020-09-14T06:27:22Z,6,,(IV) Clarification Request
9,https://github.com/twbs/bootstrap/discussions/31618,2020-09-09T15:54:51Z,"@XhmikosR @coliff I don't think there is a solution here.
If you remove everything Bootstrap related and just keep regular title=""..."" you get the same issue: https://codepen.io/tkrotoff/pen/XWdYgVP
It seems like when hovering the SVG background it creates a tooltip, then when hovering over SVG <path> it destroys previous tooltip and creates another => flickering


Chrome 85: ""bug""
Firefox 80: tooltip (title=""..."") works differently so the ""bug"" is not applicable
WebKit 2.28.4 (via GNOME Web 3.28.6) : no ""bug"", it works fine
",2020-09-14T08:17:40Z,7,,(IV) Clarification Request
