URL,Created,Comment_removeclass,Comment_time,Post_Index,Check_Point,Category
https://github.com/3b1b/manim/discussions/1474,2021/4/15 3:47 PM,"Looks like you are using the community version.
So please ask this question on discord or open an issue in ManimCommunity/manim",2021/6/12 1:13 PM,1,1,(II) External Repository
https://github.com/3b1b/manim/discussions/1519,2021/5/20 8:28 AM,"I think you are using the community version of manim.
So you're supposed to ask this question on discord of ManimCommunity or open an issue in ManimCommunity/manim",2021/6/12 12:28 PM,1,1,(II) External Repository
https://github.com/3b1b/manim/discussions/1548,2021/6/16 5:18 PM,"I think you are using the community version. So please ask this question on there discord channel or open an issue in ManimCommunity/manim, instead of here.",2021/6/16 11:16 PM,1,1,(II) External Repository
https://github.com/3b1b/manim/discussions/1708,2022/1/14 9:41 PM,"you are using CE version, so you are supposed to ask this question on their discord channel or open an issue in their repo instead of here.",2022/1/15 7:07 AM,1,1,(II) External Repository
https://github.com/aio-libs/aiohttp/discussions/5786,2021/6/8 2:35 PM,Show us the code.,2021/6/8 3:19 PM,1,,(IV) Reporting a Clarification Request
https://github.com/aio-libs/aiohttp/discussions/5786,2021/6/8 2:35 PM,"
May I know what parameters I have to use to turn on or off the SSL verification.

Well, the documentation you referred to describes the valid arguments as:

SSL validation mode. None for default SSL check (ssl.create_default_context() is used), False for skip SSL certificate validation, aiohttp.Fingerprint for fingerprint validation, ssl.SSLContext for custom SSL certificate validation.
https://docs.aiohttp.org/en/stable/client_reference.html#client-session

If you're getting a TypeError while passing in one of these, then feel free to file a bug report, and include the code you are trying.",2021/6/8 5:43 PM,2,1,(IV) Reporting a Clarification Request
https://github.com/allenai/allennlp/discussions/5567,2022/2/14 1:46 PM,We are discussing this at #5565.,2022/2/26 12:51 AM,1,1,(III) Reporting an Enhancement
https://github.com/ansible-community/molecule/discussions/3111,2021/5/13 9:34 AM,Move to issues board.,2021/5/13 9:43 AM,1,1,(IV) Reporting a Clarification Request
https://github.com/apache/airflow/discussions/13849,2021/1/22 5:28 PM,I've opened an issue for you on the Infra project on Jira - https://issues.apache.org/jira/browse/INFRA-21388,2021/2/5 12:27 PM,1,1,(II) External Repository
https://github.com/apache/airflow/discussions/13849,2021/1/22 5:28 PM,We can not delete the account as it has reported and been assigned a ticket. But I can disable it,2021/2/5 1:05 PM,2,,(II) External Repository
https://github.com/apache/airflow/discussions/14041,2021/2/2 10:08 PM,"Right now that isn't possible, at least not with some heavy hacking.
Could you open a feature request issue for this?",2021/2/5 12:15 PM,1,1,(III) Reporting an Enhancement
https://github.com/apache/airflow/discussions/14315,2021/2/19 8:24 AM,Its also happening in Airflow 2.0.1. What I observed is that it happens when there is a long-running airflow step.,2021/3/9 7:21 AM,1,,(IV) Reporting a Clarification Request
https://github.com/apache/airflow/discussions/14315,2021/2/19 8:24 AM,"Please open a bug report. It would be best if you could provide a DAG which can replicate the issue. From what you told it should be simple sleep task.
There are some other issues related to state updated when using k8s operators:
#10325
#11190",2021/3/9 9:12 PM,2,1,(IV) Reporting a Clarification Request
https://github.com/apache/airflow/discussions/16300,2021/6/7 1:12 PM,Maybe you can open an issue for that describing version etc. ?  Did you try 2.1.0 ? There were some similar issues fixed there.,2021/6/13 4:37 PM,1,1,(IV) Reporting a Clarification Request
https://github.com/apache/airflow/discussions/16300,2021/6/7 1:12 PM,"I'm having the same problem, airflow version 2.2.4
Do you find any solution/workaround ?",2022/12/6 3:17 PM,2,,(IV) Reporting a Clarification Request
https://github.com/apache/airflow/discussions/18270,2020/6/15 2:05 PM,@nullhack @retornam @CodingJonas @CaptainCuddleCube @nalepae @akki Can you look at it? It may be interesting for you.,2020/6/15 5:24 PM,1,,(IV) Reporting a Clarification Request
https://github.com/apache/airflow/discussions/18270,2020/6/15 2:05 PM,"Sure, I'll put on my list, after reviewing the other PR",2020/6/21 2:23 PM,2,,(IV) Reporting a Clarification Request
https://github.com/apache/airflow/discussions/18270,2020/6/15 2:05 PM,"I currently using the workaround with a subprocess without issues. Not saying it is perfect, but I can make a pull request out of if, since it seems to me like a sufficient solution.",2020/6/22 8:27 AM,3,,(IV) Reporting a Clarification Request
https://github.com/apache/airflow/discussions/18270,2020/6/15 2:05 PM,"@CodingJonas Just curious if you asked upstream why docker-py behaves that way?
It might be worth asking them to know if they can fix the root cause itself.",2020/7/23 7:39 AM,4,,(IV) Reporting a Clarification Request
https://github.com/apache/airflow/discussions/18270,2020/6/15 2:05 PM,"That's a good point, I see that I open an issue on their side today and come around to polish my changes for a at least WIP merge request to see if my current solution is feasible :)",2020/7/23 8:01 AM,5,,(IV) Reporting a Clarification Request
https://github.com/apache/airflow/discussions/18270,2020/6/15 2:05 PM,"@CodingJonas you are hitting a known bug in docker-py where is is_tty is set and there isn't any streaming output for about 60 seconds, the connection is closed  see docker/docker-py#931 (comment), there is a fix for it  in docker/docker-py#1959",2020/7/23 10:48 PM,6,,(IV) Reporting a Clarification Request
https://github.com/apache/airflow/discussions/18270,2020/6/15 2:05 PM,I'm not quite sure if this is an Airflow issue?,2021/5/6 1:07 PM,7,,(IV) Reporting a Clarification Request
https://github.com/apache/airflow/discussions/18270,2020/6/15 2:05 PM,"The issue docker/docker-py#931  is still not yet fixed and the DockerSwarmOperator still have the 60s delay before finishing a completed service.
Any updated workaround you are using to prevent this delay ?",2021/8/10 9:54 AM,8,,(IV) Reporting a Clarification Request
https://github.com/apache/airflow/discussions/18270,2020/6/15 2:05 PM,"Sorry for not following up on my workaround, we moved to Kubernetes, so we did not finish polishing the workaround properly. I can still add the main code parts we used to try to fix it. Perhaps it helps you!

The only addition we did is wrapping the _stream_logs_to_output method in a Thread.",2021/9/6 2:36 PM,9,,(IV) Reporting a Clarification Request
https://github.com/apache/airflow/discussions/18270,2020/6/15 2:05 PM,"FYI, docker/docker-py#931 has got fixed.
So we should not see this issue once we upgrade our docker-py dependency to their next release.
Also, we can remove this exception handling as per the comment.",2021/9/17 1:03 PM,10,,(IV) Reporting a Clarification Request
https://github.com/apache/airflow/discussions/18270,2020/6/15 2:05 PM,"docker-py version 5.0.3 was released with a the fix of docker/docker-py#931
https://github.com/docker/docker-py/releases/tag/5.0.3
@akki @potiuk @CodingJonas",2021/10/8 11:55 AM,11,,(IV) Reporting a Clarification Request
https://github.com/apache/airflow/discussions/18270,2020/6/15 2:05 PM,"I opened #18867 as followup
FYI @akki @HaloKo4 @CodingJonas if any one of you is interested in working on it.",2021/10/10 7:36 AM,12,1,(IV) Reporting a Clarification Request
https://github.com/apache/airflow/discussions/18290,2021/9/16 9:31 AM,Thanks for opening your first issue here! Be sure to follow the issue template!,2021/9/16 9:31 AM,1,,(I) Reporting a Bug
https://github.com/apache/airflow/discussions/18290,2021/9/16 9:31 AM,"Not sure what changed this behaviour, but do you consider this a bug? I'd argue if you have LDAP enabled, you would want all your users to live in your LDAP directory and not be able to create any local users.",2021/9/16 9:42 AM,2,,(I) Reporting a Bug
https://github.com/apache/airflow/discussions/18290,2021/9/16 9:31 AM,"Yeah. @pawsok  - were you atually ABLE to add new users in case of LDAP authentication before (and they Landed in LDAP)? Unless  you have custom authentication module, I believe there is no code for that functionality in Airflow so I'd also be quite surprised. Maybe that was a bug and when you added the users they landed in Airflow DB instead?
Can you please explain what was the behaviour you observed before and where the users landed (converting that into discussion)",2021/9/16 10:17 AM,3,,(I) Reporting a Bug
https://github.com/apache/airflow/discussions/18290,2021/9/16 9:31 AM,"@potiuk Yes, I'm still able to add LDAP users from Airflow 2.0.1. Here is an exemplary add user view:

I have added many users in this way and they can log in Airflow, as:
username: domain/user_domain_name
password: domain_password
In Airflow webserver config file there are three variables set as the below:

EDIT:
Maybe it's something related to a newer version of Flask AppBuilder? In Airflow 2.0.1 we have Flask-AppBuilder==3.1.1, now it's Flask-AppBuilder==3.3.2.",2021/9/16 10:35 AM,4,,(I) Reporting a Bug
https://github.com/apache/airflow/discussions/18290,2021/9/16 9:31 AM,@pawsok Those users aren't stored in your LDAP directory are they (only in the Airflow DB)?,2021/9/16 10:50 AM,5,,(I) Reporting a Bug
https://github.com/apache/airflow/discussions/18290,2021/9/16 9:31 AM,That's also my thinking - that they are just in the DB and you won't find them in your LDAP - can you please double-check that?,2021/9/16 10:52 AM,6,,(I) Reporting a Bug
https://github.com/apache/airflow/discussions/18290,2021/9/16 9:31 AM,"Users exist in Airlow DB and also in LDAP directory, otherwise I think that users are not able to log in to Airflow.",2021/9/16 11:12 AM,7,,(I) Reporting a Bug
