,URL,Created,Comment_removeclass,Comment_time,Post_Index,Check_Point,Category
0,https://github.com/angular/angularfire/discussions/2844,2021-05-21 10:24:06.000000,This issue does not seem to follow the issue template. Make sure you provide all the required information.,2021-05-21 10:24:08.000000,1,,Invalid issues
1,https://github.com/angular/angularfire/discussions/2844,2021-05-21 10:24:06.000000,"Moving to discussions.
Our current recommendation is to use the emulators entirely in AngularFire, as swapping out AngularFireModule for initializeTestApp is not trivial (and likely not possible with the current AF API).
Including auth https://firebase.google.com/docs/emulator-suite/connect_auth",2021-05-25 19:47:13.000000,2,1.0,Invalid issues
2,https://github.com/angular/angularfire/discussions/2949,2021-09-12 04:13:19.000000,This issue does not seem to follow the issue template. Make sure you provide all the required information.,2021-09-12 04:13:21.000000,1,,Not a bug
3,https://github.com/angular/angularfire/discussions/2949,2021-09-12 04:13:19.000000,"Converting to a discussion, if a bug is found we can open one.",2021-09-14 07:20:23.000000,2,1.0,Not a bug
4,https://github.com/ant-design/ant-design/discussions/29818,2021-03-18 21:07:48.000000,Try to drop usage of babel-plugin-import.,2021-03-19 01:38:11.000000,1,,Non Actionable Topic
5,https://github.com/ant-design/ant-design/discussions/29818,2021-03-18 21:07:48.000000,Since this not a bug or feature request. Move to discussion instead.,2021-03-19 03:44:32.000000,2,1.0,Non Actionable Topic
6,https://github.com/apollographql/apollo-client/discussions/6293,2020-05-16 17:24:46.000000,Thanks for the feature request @darkbasic. I'm going to convert this to a discussion (we're trialing GH's beta discussions feature).,2020-05-20 01:26:00.000000,1,1.0,Non Actionable Topic
7,https://github.com/apollographql/apollo-server/discussions/4432,2020-07-30 18:07:26.000000,"@jhampton It looks like this repo has access to the Github Discussions Beta.
Should we move this over there? https://github.com/apollographql/apollo-server/discussions",2020-07-30 18:18:26.000000,1,1.0,Non Actionable Topic
8,https://github.com/aws-amplify/amplify-js/discussions/8106,2021-04-13 11:17:02.000000,"One idea, we don't do much error trapping or retries when it comes to DataStore, we treat it currently as fire and forget assuming that its doing a lot of the smart retry stuff under the hood. Should we be adding in more error catching to try to catch a missed/bad sync and retrying? I don't think so, seems a bit of a duplication but I could be wrong. That raises a whole other question about best practise usage of DataStore with error handling, I might put that in another issue though.",2021-04-13 11:41:50.000000,1,,Non Actionable Topic
9,https://github.com/aws-amplify/amplify-js/discussions/8106,2021-04-13 11:17:02.000000,"Hey 👋 Thanks for raising this! After reading over this issue, it appears to be more of a general question or topic for discussion and will be labeled as such. This is to differentiate it from the other types of issues and make sure it receives the attention it deserves.
I have also asked a member of the team that, to my knowledge, is focused on this area of Amplify to take a look and give their feedback when/if they can.
I hope that helps!",2021-04-13 19:05:47.000000,2,1.0,Non Actionable Topic
10,https://github.com/aws-amplify/amplify-js/discussions/9388,2021-11-26 09:52:36.000000,"Hi @laclance 👋 thanks for raising this issue. In our documentation, we recommend listening to the signout event from the Auth category to trigger a DataStore.clear call.
I think there might be a race condition happening between the graphql call datastore makes and the clear/signout operations but this should work.
ex.
",2021-11-29 14:44:42.000000,1,,Further discussion
11,https://github.com/aws-amplify/amplify-js/discussions/9388,2021-11-26 09:52:36.000000,"ok thank you but how do I trigger the signOut event? It's a custom login, do I have to use amplify authentication in order to clear datastore on signout?",2021-11-29 14:51:41.000000,2,,Further discussion
12,https://github.com/aws-amplify/amplify-js/discussions/9388,2021-11-26 09:52:36.000000,"Ohh okay. Well, in that case, maybe you could use the API.graphql method to create that record before DataStore gets cleared? I think the issue is mainly that you're trying to save a record to the local database, which DataStore will always do, but the graphql queries happen separately apart from the DataStore operations. So, it might make more sense to make a call directly to the API so you don't have to worry about the DataStore websocket connection closing before the local record can be synced to the server.
something like this:
",2021-11-29 18:37:14.000000,3,,Further discussion
13,https://github.com/aws-amplify/amplify-js/discussions/9388,2021-11-26 09:52:36.000000,Ok yeah thank you that's probably the best idea.,2021-11-29 18:42:27.000000,4,,Further discussion
14,https://github.com/aws-amplify/amplify-js/discussions/9388,2021-11-26 09:52:36.000000,No problem 😄  Let me know if that works for you!,2021-11-29 18:44:12.000000,5,,Further discussion
15,https://github.com/aws-amplify/amplify-js/discussions/9388,2021-11-26 09:52:36.000000,@chrisbonifacio is there a way to check a record has been synced to the cloud? Comparing the SubscriptionMessage when offline and online they seem to be identical?,2021-11-30 15:47:28.000000,6,,Further discussion
16,https://github.com/aws-amplify/amplify-js/discussions/9388,2021-11-26 09:52:36.000000,The problem I'm having is similar to this one #6488. If the internet goes down and I do a Datastore.save to the local db while still offline and then when the internet comes on again datastore does not sync right away and if a user wants to log out before the sync occurs I can't tell which items in the local db have been synced to the cloud or not.,2021-12-01 05:21:42.000000,7,,Further discussion
17,https://github.com/aws-amplify/amplify-js/discussions/9388,2021-11-26 09:52:36.000000,"
graphql

Also tried this and get same error.",2021-12-01 11:15:12.000000,8,,Further discussion
18,https://github.com/aws-amplify/amplify-js/discussions/9388,2021-11-26 09:52:36.000000,Can also get the same error without trying to save right before clearing. If you do a datastore.save while offline then at any point in time clear the db and then at any point in time go online again you will get the error. So doesn't matter whether or not I try to save data before clearing will still get the error if I clear the db at any point in time while there are unsynced records.,2021-12-01 12:29:33.000000,9,,Further discussion
19,https://github.com/aws-amplify/amplify-js/discussions/9388,2021-11-26 09:52:36.000000,"
is there a way to check a record has been synced to the cloud? Comparing the SubscriptionMessage when offline and online they seem to be identical?

As far as I know, there are two ways:

Using the Hub utility


console logs


Using DataStore.observeQuery


console logs
",2021-12-01 20:35:39.000000,10,,Further discussion
20,https://github.com/aws-amplify/amplify-js/discussions/9388,2021-11-26 09:52:36.000000,"Maybe I'm misunderstanding the use case here, but why are you clearing the local database if you are anticipating the user to perform operations offline? Do you expect multiple users to be logged into the same device? If the same user is signing in, it might be best to leave the data cached locally and only clear the database if a different user logs in.
https://docs.amplify.aws/lib/datastore/sync/q/platform/js/#clear-local-data",2021-12-01 20:47:17.000000,11,,Further discussion
21,https://github.com/aws-amplify/amplify-js/discussions/9388,2021-11-26 09:52:36.000000,Thanks but those solutions don't tell me if data has synced to the cloud only locally because even when offline datastore says items are synced. Yes there are multiple users and their data needs to be private.,2021-12-02 03:30:09.000000,12,,Further discussion
22,https://github.com/aws-amplify/amplify-js/discussions/9388,2021-11-26 09:52:36.000000,"So whether online or offline this is what I get:

If offline then will get event: 'modelSynced' when I come online again which is great because I can check if 'outboxMutationEnqueued' fires then wait for 'modelSynced' to check if data has been synced but if online then 'modelSynced' events only fires when I refresh the page.",2021-12-02 05:26:52.000000,13,,Further discussion
23,https://github.com/aws-amplify/amplify-js/discussions/9388,2021-11-26 09:52:36.000000,That I can manage though but main issue is still if app is online I want to clear datastore but save unsynced data before doing so but I get the 'Failed to execute' error.,2021-12-02 06:35:07.000000,14,,Further discussion
24,https://github.com/aws-amplify/amplify-js/discussions/9388,2021-11-26 09:52:36.000000,"@laclance ah okay, I see what you mean. Hmm, I'm not really sure if there's a reliable way to make sure records are synced to the server before clearing, especially if offline.
Personally, I wouldn't clear the local database unless a different user logs into the same device to try to avoid the edge case of a user logging out while offline causing records to be lost before synced. But, I may just be missing some experience on how to properly handle this.
I'm going to reach out to the DataStore team to see if I can get some feedback for you on what might be the best way to approach this.",2021-12-02 15:48:23.000000,15,,Further discussion
25,https://github.com/aws-amplify/amplify-js/discussions/9388,2021-11-26 09:52:36.000000,"Ok cool thanks so much, the only problem with not clearing is that other users can see the data in the indexdb via browser dev tools.",2021-12-02 17:01:20.000000,16,,Further discussion
26,https://github.com/aws-amplify/amplify-js/discussions/9388,2021-11-26 09:52:36.000000,"No problem! As a quick note, the team has pointed out that the event for when a local change has been synced to the cloud would be outboxMutationProcessed, rather than the enqueued changes.
Still in talks about this with the team. Thank you for bearing with me in the meantime!",2021-12-02 17:42:04.000000,17,,Further discussion
27,https://github.com/aws-amplify/amplify-js/discussions/9388,2021-11-26 09:52:36.000000,"No problem thanks, yes I did see that but it's the same problem as the 'modelSynced' event, the events don't always get fired if you do not have a stable internet connection.",2021-12-02 18:01:08.000000,18,,Further discussion
28,https://github.com/aws-amplify/amplify-js/discussions/9388,2021-11-26 09:52:36.000000,"All of a sudden getting this error and can't get rid of it.
index.ts:594 Uncaught (in promise) TypeError: Cannot read properties of undefined (reading 'lastFullSync')",2021-12-03 14:02:27.000000,19,,Further discussion
29,https://github.com/aws-amplify/amplify-js/discussions/9388,2021-11-26 09:52:36.000000,"@chrisbonifacio deleted amplify project and recreated from scratch but still the the same error, not sure if I should maybe open a new issue because I don't know how to reproduce it, all I did was try to run Datastore.clear() after doing multiple updates, which I tried many times before without receiving this error.
",2021-12-06 13:33:41.000000,20,,Further discussion
30,https://github.com/aws-amplify/amplify-js/discussions/9388,2021-11-26 09:52:36.000000,"Re-created the project again with a different table name and created a fresh frontend app with only Amplify.configure(aws_exports); and DataStore.start() and get these 2 errors:

",2021-12-07 17:04:52.000000,21,,Further discussion
